id,jobId,category,numVulnerabilities,numLibVulns,libraryPercentage
1609,2485,Cryptography,13,10,43.4782600402832
1610,2986,Cryptography,15,12,44.4444465637207
1611,4037,Cryptography,18,1,5.26315784454346
1612,2841,Cryptography,12,10,45.4545478820801
1613,991,Cryptography,1,0,0
1614,927,Cryptography,8,0,0
1615,1954,Cryptography,41,40,49.3827171325684
1616,2249,Cryptography,1,1,50
1617,926,Cryptography,17,0,0
1618,3228,Cryptography,28,2,6.66666698455811
1619,3448,Cryptography,104,57,35.4037246704102
1620,3309,Cryptography,86,37,30.0813026428223
1621,1988,Cryptography,13,13,50
1622,3148,Cryptography,11,9,45
1623,3953,Cryptography,11,2,15.3846158981323
1624,4136,Cryptography,50,37,42.528736114502
1625,1105,Cryptography,11,0,0
1626,3741,Cryptography,78,78,50
1627,3973,Cryptography,147,74,33.4841651916504
1628,1963,Cryptography,24,1,4
1629,2193,Cryptography,18,16,47.0588226318359
1630,1919,Cryptography,15,15,50
1631,2555,Cryptography,15,0,0
1632,1533,Cryptography,1,0,0
1633,3051,Cryptography,139,127,47.7443618774414
1634,2563,Cryptography,77,15,16.3043479919434
1635,3002,Cryptography,25,12,32.432430267334
1636,2289,Cryptography,17,13,43.3333320617676
1637,1769,Cryptography,9,7,43.75
1638,3287,Cryptography,40,19,32.2033920288086
1639,3159,Cryptography,148,118,44.3609046936035
1640,1540,Cryptography,2,2,50
1641,4040,Cryptography,55,15,21.4285717010498
1642,4058,Cryptography,26,19,42.2222213745117
1643,3399,Cryptography,27,3,10
1644,2630,Cryptography,11,10,47.6190490722656
1645,3938,Code Quality,1,1,50
1646,3938,Cryptography,30,3,9.09090900421143
1647,3835,Cryptography,24,21,46.6666679382324
1648,2278,Cryptography,10,10,50
1649,2112,Cryptography,19,19,50
1650,2212,Cryptography,10,8,44.4444465637207
1651,907,Cryptography,5,0,0
1652,1088,Cryptography,5,0,0
1653,2484,Cryptography,89,25,21.9298248291016
1654,1239,Cryptography,6,1,14.2857151031494
1655,1417,Cryptography,5,0,0
1656,2441,Cryptography,19,16,45.7142868041992
1657,3046,Cryptography,30,25,45.4545478820801
1658,4109,Cryptography,127,29,18.5897445678711
1659,1331,Cryptography,10,2,16.6666679382324
1660,3975,Cryptography,166,95,36.3984680175781
1661,1442,Cryptography,1,0,0
1662,3716,Cryptography,27,11,28.9473686218262
1663,3698,Cryptography,42,26,38.235294342041
1664,1773,Cryptography,8,7,46.6666679382324
1665,608,Cryptography,1,0,0
1666,3513,Cryptography,6,0,0
1667,1235,Cryptography,5,0,0
1668,3761,Cryptography,21,13,38.235294342041
1669,3478,Cryptography,2,0,0
1670,3732,Cryptography,120,72,37.5
1671,3005,Cryptography,41,35,46.0526313781738
1672,1891,Cryptography,19,8,29.6296291351318
1673,662,Cryptography,36,35,49.2957725524902
1674,4115,Cryptography,163,92,36.0784339904785
1675,1807,Cryptography,35,8,18.6046504974365
1676,1947,Cryptography,9,8,47.0588226318359
1677,1631,Cryptography,13,11,45.8333358764648
1678,3316,Cryptography,59,52,46.8468475341797
1679,2989,Cryptography,31,16,34.042552947998
1680,4127,Cryptography,159,32,16.753927230835
1681,3239,Cryptography,6,3,33.3333358764648
1682,3647,Cryptography,162,133,45.0847434997559
1683,3673,Cryptography,94,57,37.7483444213867
1684,1163,Cryptography,5,0,0
1685,720,Cryptography,9,2,18.1818180084229
1686,1017,Cryptography,5,0,0
1687,3735,Cryptography,82,58,41.4285736083984
1688,2414,Cryptography,17,11,39.2857131958008
1689,3845,Cryptography,12,0,0
1690,2041,Cryptography,31,23,42.5925941467285
1691,2651,Cryptography,42,14,25
1692,604,Cryptography,9,2,18.1818180084229
1693,2855,Cryptography,1,0,0
1694,3351,Cryptography,123,82,40
1695,2845,Cryptography,22,15,40.5405387878418
1696,3598,Cryptography,59,31,34.4444465637207
1697,3481,Cryptography,142,138,49.2857131958008
1698,1750,Cryptography,10,0,0
1699,1685,Cryptography,6,1,14.2857151031494
1700,2043,Cryptography,7,7,50
1701,1367,Cryptography,6,1,14.2857151031494
1702,1068,Cryptography,19,0,0
1703,2284,Cryptography,13,13,50
1704,3674,Cryptography,99,92,48.167537689209
1705,1544,Cryptography,19,0,0
1706,4147,Cryptography,125,79,38.7254905700684
1707,3307,Cryptography,14,3,17.6470584869385
1708,1141,Cryptography,18,9,33.3333358764648
1709,1991,Cryptography,15,14,48.2758598327637
1710,4090,Cryptography,43,35,44.8717956542969
1711,3942,Cryptography,20,10,33.3333358764648
1712,2397,Cryptography,7,7,50
1713,3844,Cryptography,271,161,37.2685203552246
1714,1034,Cryptography,5,0,0
1715,1784,Cryptography,6,1,14.2857151031494
1716,2854,Cryptography,35,5,12.5
1717,1057,Cryptography,5,0,0
1718,3244,Cryptography,7,7,50
1719,1348,Cryptography,16,6,27.2727279663086
1720,816,Cryptography,7,0,0
1721,3124,Cryptography,51,15,22.72727394104
1722,2806,Cryptography,32,20,38.461540222168
1723,4193,Cryptography,88,28,24.1379299163818
1724,1480,Cryptography,2,1,33.3333358764648
1725,2123,Cryptography,1,0,0
1726,2820,Cryptography,41,34,45.3333358764648
1727,3846,Cryptography,54,41,43.1578941345215
1728,3767,Cryptography,22,22,50
1729,2331,Cryptography,8,0,0
1730,3090,Cryptography,134,133,49.8127326965332
1731,2453,Cryptography,22,9,29.0322570800781
1732,1033,Cryptography,15,0,0
1733,1503,Cryptography,8,7,46.6666679382324
1734,4178,Cryptography,26,6,18.75
1735,1050,Cryptography,14,0,0
1736,3677,Cryptography,9,5,35.7142868041992
1737,3605,Cryptography,116,89,43.4146347045898
1738,3198,Cryptography,85,74,46.5408782958984
1739,2398,Cryptography,24,22,47.8260879516602
1740,2217,Cryptography,33,18,35.294116973877
1741,3527,Cryptography,155,108,41.0646362304688
1742,1724,Cryptography,17,0,0
1743,2615,Cryptography,46,39,45.8823547363281
1744,4047,Cryptography,35,25,41.6666641235352
1745,1341,Cryptography,6,1,14.2857151031494
1746,2447,Cryptography,33,12,26.6666679382324
1747,2238,Cryptography,8,8,50
1748,3760,Cryptography,43,42,49.4117660522461
1749,4032,Cryptography,33,20,37.7358512878418
1750,3572,Cryptography,7,7,50
1751,2223,Cryptography,19,13,40.625
1752,2723,Cryptography,12,10,45.4545478820801
1753,1021,Cryptography,1,0,0
1754,4126,Cryptography,59,44,42.7184448242188
1755,3865,Cryptography,83,57,40.714282989502
1756,2205,Cryptography,18,14,43.75
1757,4083,Cryptography,1,0,0
1758,2169,Cryptography,7,3,30.0000019073486
1759,3038,Cryptography,10,10,50
1760,3643,Cryptography,176,110,38.461540222168
1761,2330,Cryptography,25,13,34.2105255126953
1762,3610,Cryptography,165,120,42.1052627563477
1763,2017,Cryptography,5,0,0
1764,2351,Cryptography,1,0,0
1765,3893,Cryptography,212,156,42.3913040161133
1766,4093,Cryptography,38,25,39.6825408935547
1767,3806,Cryptography,116,57,32.9479751586914
1768,4016,Cryptography,252,74,22.6993865966797
1769,3736,Cryptography,194,173,47.1389656066895
1770,3202,Cryptography,23,10,30.3030319213867
1771,3310,Cryptography,2,1,33.3333358764648
1772,2569,Cryptography,3,0,0
1773,4151,Cryptography,141,53,27.3195858001709
1774,1170,Cryptography,5,0,0
1775,3587,Cryptography,86,84,49.4117660522461
1776,2310,Cryptography,20,15,42.8571434020996
1777,2817,Cryptography,18,14,43.75
1778,1869,Cryptography,2,0,0
1779,3235,Cryptography,20,20,50
1780,2602,Cryptography,13,11,45.8333358764648
1781,2329,Cryptography,1,1,50
1782,2106,Cryptography,33,24,42.1052627563477
1783,3759,Cryptography,86,85,49.7076034545898
1784,2970,Cryptography,4,1,20
1785,1539,Cryptography,3,0,0
1786,3714,Cryptography,9,4,30.7692317962646
1787,3517,Cryptography,10,10,50
1788,2578,Cryptography,3,3,50
1789,1290,Cryptography,6,0,0
1790,2474,Cryptography,37,33,47.1428565979004
1791,2691,Cryptography,12,11,47.8260879516602
1792,3131,Cryptography,18,13,41.9354820251465
1793,4033,Cryptography,24,20,45.4545478820801
1794,1596,Cryptography,9,0,0
1795,2791,Cryptography,30,19,38.7755088806152
1796,1064,Cryptography,5,0,0
1797,3690,Cryptography,2,2,50
1798,3376,Cryptography,24,0,0
1799,2971,Cryptography,54,34,38.6363639831543
1800,3357,Cryptography,54,39,41.9354820251465
1801,3794,Cryptography,29,20,40.8163261413574
1802,1537,Cryptography,5,0,0
1803,855,Cryptography,4,4,50
1804,2955,Cryptography,1,0,0
1805,3319,Cryptography,217,175,44.6428565979004
1806,2401,Cryptography,18,14,43.75
1807,3863,Cryptography,121,36,22.9299373626709
1808,3346,Cryptography,209,162,43.6657676696777
1809,986,Cryptography,2,0,0
1810,1323,Cryptography,8,0,0
1811,4160,Cryptography,34,31,47.6923065185547
1812,2500,Cryptography,23,14,37.8378372192383
1813,1368,Cryptography,8,0,0
1814,2040,Cryptography,15,14,48.2758598327637
1815,2642,Cryptography,1,0,0
1816,1714,Cryptography,39,7,15.2173910140991
1817,2571,Cryptography,16,8,33.3333358764648
1818,2810,Cryptography,13,11,45.8333358764648
1819,2927,Cryptography,18,15,45.4545478820801
1820,3390,Cryptography,13,4,23.529411315918
1821,2498,Cryptography,19,8,29.6296291351318
1822,893,Cryptography,8,0,0
1823,1392,Cryptography,2,0,0
1824,3313,Cryptography,64,58,47.5409851074219
